Sex,Age,M,Len,Wt,Mat
1,0,0.132034,64,2.15478,5.70844e-08
1,1,0.132034,83.9645,4.40397,1.4546e-06
1,2,0.132034,102.302,7.53903,3.08285e-05
1,3,0.132034,119.145,11.433,0.000516689
1,4,0.132034,134.616,15.9699,0.00551173
1,5,0.132034,148.826,21.0266,0.0314275
1,6,0.132034,161.879,26.4816,0.102519
1,7,0.132034,173.867,32.2215,0.223108
1,8,0.132034,184.879,38.1436,0.370004
1,9,0.132034,194.993,44.1579,0.513903
1,10,0.132034,204.283,50.1874,0.636566
1,11,0.132034,212.816,56.1673,0.732524
1,12,0.132034,220.654,62.0446,0.803899
1,13,0.132034,227.853,67.7767,0.855573
1,14,0.132034,234.466,73.3301,0.892553
1,15,0.132034,240.539,78.6796,0.918976
1,16,0.132034,246.118,83.8067,0.937947
1,17,0.132034,251.242,88.6985,0.951689
1,18,0.132034,255.949,93.347,0.961758
1,19,0.132034,260.272,97.7478,0.969227
1,20,0.132034,264.243,101.9,0.974842
1,21,0.132034,267.89,105.804,0.97912
1,22,0.132034,271.24,109.466,0.98242
1,23,0.132034,274.317,112.889,0.984999
1,24,0.132034,277.143,116.083,0.987039
1,25,0.132034,284.857,125.062,0.990971
2,0,0.132034,64,1.92049,0
2,1,0.132034,83.9645,4.02467,0
2,2,0.132034,102.302,7.0181,0
2,3,0.132034,119.145,10.7963,0
2,4,0.132034,134.616,15.2546,0
2,5,0.132034,148.826,20.2753,0
2,6,0.132034,161.879,25.7382,0
2,7,0.132034,173.867,31.528,0
2,8,0.132034,184.879,37.5386,0
2,9,0.132034,194.993,43.6755,0
2,10,0.132034,204.283,49.8563,0
2,11,0.132034,212.816,56.0111,0
2,12,0.132034,220.654,62.0819,0
2,13,0.132034,227.853,68.0213,0
2,14,0.132034,234.466,73.7918,0
2,15,0.132034,240.539,79.3644,0
2,16,0.132034,246.118,84.7176,0
2,17,0.132034,251.242,89.8361,0
2,18,0.132034,255.949,94.7099,0
2,19,0.132034,260.272,99.3331,0
2,20,0.132034,264.243,103.704,0
2,21,0.132034,267.89,107.822,0
2,22,0.132034,271.24,111.692,0
2,23,0.132034,274.317,115.319,0
2,24,0.132034,277.143,118.709,0
2,25,0.132034,284.857,128.232,0
