Metric,Value
Clatest,292.155
Flatest,0.16484
Fmsy,0.11493
Frecent,0.1723705
MSY,2649.83
SB0,1216.41
SBlatest,47.8479
SBmsy,480.813
SBrecent,46.3811
TBlatest,3132.52
TBrecent,3011.7475
Flatest_Fmsy,1.43426433481249
Frecent_Fmsy,1.49978682676412
SBlatest_SB0,0.0393353392359484
SBlatest_SBmsy,0.0995145721933475
SBrecent_SB0,0.0381294958114452
SBrecent_SBmsy,0.0964639059260045
Finit,0.244947
lnR0,5.17273
M,0.132034
zfrac,0.973794
