#C function is available at http://code.google.com/p/r4ss/source/browse/#svn/branches/input_file_objects
#C should work with SS version:
#C file created using an r4ss function
#C file write time: 2025-07-10  17:44:58
#
1995 #_styr
2023 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
2 #_Nsexes
25 #_Nages
1 #_N_areas
6 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	 -1	1	2	0	F_NonTarLL	#_1
1	 -1	1	2	0	F_AssoPS  	#_2
1	 -1	1	2	0	F_UnAssoPS	#_3
3	0.5	1	2	0	S_NonTarLL	#_4
3	0.5	1	2	0	S_AssoPS  	#_5
3	0.5	1	2	0	S_UnAssoPS	#_6
#_Catch data
#_year	season	fleet	catch	catch_se
 -999	1	1	     131.6	0.05	#_1         
 1995	1	1	 83.774803	0.05	#_2         
 1996	1	1	 48.468536	0.05	#_3         
 1997	1	1	 61.885662	0.05	#_4         
 1998	1	1	 77.143021	0.05	#_5         
 1999	1	1	  106.5736	0.05	#_6         
 2000	1	1	 72.737864	0.05	#_7         
 2001	1	1	 71.918833	0.05	#_8         
 2002	1	1	 82.338158	0.05	#_9         
 2003	1	1	 72.052001	0.05	#_10        
 2004	1	1	 91.852165	0.05	#_11        
 2005	1	1	 54.052491	0.05	#_12        
 2006	1	1	  51.70043	0.05	#_13        
 2007	1	1	 37.329168	0.05	#_14        
 2008	1	1	 47.525059	0.05	#_15        
 2009	1	1	 41.453265	0.05	#_16        
 2010	1	1	 40.992095	0.05	#_17        
 2011	1	1	  26.09195	0.05	#_18        
 2012	1	1	 35.809785	0.05	#_19        
 2013	1	1	 26.630023	0.05	#_20        
 2014	1	1	 26.686325	0.05	#_21        
 2015	1	1	  20.53589	0.05	#_22        
 2016	1	1	  17.80478	0.05	#_23        
 2017	1	1	 10.462418	0.05	#_24        
 2018	1	1	 11.069724	0.05	#_25        
 2019	1	1	 14.720035	0.05	#_26        
 2020	1	1	 11.672813	0.05	#_27        
 2021	1	1	 14.786408	0.05	#_28        
 2022	1	1	 12.827568	0.05	#_29        
 2023	1	1	 10.250124	0.05	#_30        
 -999	1	2	      18.8	0.05	#_31        
 1995	1	2	0.10014855	0.05	#_32        
 1996	1	2	 2.2665264	0.05	#_33        
 1997	1	2	 1.8187469	0.05	#_34        
 1998	1	2	 4.6853701	0.05	#_35        
 1999	1	2	 7.0960142	0.05	#_36        
 2000	1	2	 2.5077231	0.05	#_37        
 2001	1	2	 4.1463999	0.05	#_38        
 2002	1	2	 1.7379982	0.05	#_39        
 2003	1	2	 1.8908731	0.05	#_40        
 2004	1	2	 2.3321616	0.05	#_41        
 2005	1	2	 1.4311949	0.05	#_42        
 2006	1	2	0.60824711	0.05	#_43        
 2007	1	2	0.65810941	0.05	#_44        
 2008	1	2	 0.8963088	0.05	#_45        
 2009	1	2	0.16034119	0.05	#_46        
 2010	1	2	 0.3179057	0.05	#_47        
 2011	1	2	 0.6633276	0.05	#_48        
 2012	1	2	0.35900025	0.05	#_49        
 2013	1	2	 0.3823864	0.05	#_50        
 2014	1	2	0.44827456	0.05	#_51        
 2015	1	2	0.30927602	0.05	#_52        
 2016	1	2	0.43508783	0.05	#_53        
 2017	1	2	0.53700556	0.05	#_54        
 2018	1	2	0.81473056	0.05	#_55        
 2019	1	2	0.80683788	0.05	#_56        
 2020	1	2	0.75516524	0.05	#_57        
 2021	1	2	0.48894152	0.05	#_58        
